id_orig,text_orig,anger,disgust,fear,joy,sadness,surprise,id_pt,text_pt,idioma,nota,comb_emocao
hau_train_track_a_00245,"dia da pobreza hj?? Deus me ajuda a não ficar na pindaíba e me dá um tapa na cara. Amém, Deus",0,0,1,0,0,1,ptbr_train_track_a_01660,"Jesus, é cada uma desse cidadão. É de assustar.",hau,,0-0-1-0-0-1
hau_train_track_a_01008,a polícia em Dubai vai dar uma geral nas garotas de programa da Nigéria depois que acharam o corpo de um árabe que morreu enquanto tavam com uma delas,0,1,0,0,1,0,ptbr_train_track_a_01938,to feio gordo e triste,hau,,0-1-0-0-1-0
hau_train_track_a_01507,"a gente sabe que tudo é de Deus, que Ele nos ajude a superar essa fase difícil, tamo junto nas orações",0,0,1,0,1,0,ptbr_train_track_a_01354,"Doenças são malditas. A gente geralmente n liga quando são com pessoas aleatórias (e deveríamos ligar, ter empatia), mas quando afetam alguém especial é totalmente diferente.",hau,,0-0-1-0-1-0
hau_train_track_a_00014,"sempre que vejo uma parada assim fico feliz com a coragem desse povo e dá até uma dó dos nossos líderes, pq a maioria nem tem coragem de encarar o todo poderoso, que Deus tenha misericórdia",1,0,0,1,1,0,ptbr_train_track_a_00445,Parabéns falou tudo e muito difícil ser Negro neste País,hau,,1-0-0-1-1-0
hau_train_track_a_00203,BBC sem frescura,0,0,0,0,0,0,ptbr_train_track_a_01526,Seja a mudança q vc quer no mundo,hau,,0-0-0-0-0-0
hau_train_track_a_00099,a mãe dele deu pra ele beber xixi kkkk,0,1,0,0,0,0,ptbr_train_track_a_01252,eu quando vejo a meia dúzia de viado que ainda tem na eca beijando os hétero  bêbado nos rolê:,hau,,0-1-0-0-0-0
hau_train_track_a_01173,"de verdade, mó pobreza daqueles tempos wllhy",1,0,0,0,0,0,ptbr_train_track_a_00972,isso eh revoltante pqp,hau,,1-0-0-0-0-0
hau_train_track_a_00936,"Cabra, só sabe falar inglês agora? Quando foi que tu aprendeu isso?",1,0,0,0,0,1,ptbr_train_track_a_01853,não entendi o porquê do preconceito com Roraima.,hau,,1-0-0-0-0-1
hau_train_track_a_01639,"depois de queimar o brother pra ganhar grana, ele fica tipo, como ainda tô na pindaíba?",0,1,0,0,0,1,ptbr_train_track_a_01256,Vi um pervertido com fetiche por amputados outro dia no tumblr.,hau,,0-1-0-0-0-1
hau_train_track_a_00561,"e pra que essas histórias que só dão nojo e fazem a gente querer vomitar? Senhor, proteja a gente de quem quer fazer essa bomba acontecer!",1,1,0,0,0,0,ptbr_train_track_a_02191,cuidado para não tropeçar nesse tanto de coisa que você finge ser,hau,,1-1-0-0-0-0
chn_train_track_a_01841,"a contaminação tá alta mesmo, vamos pular o home office e os leves vêm trabalhar, a transmissão tá absurda!",0,0,1,0,0,1,ptbr_train_track_a_02023,garota q susto pqp zjzkzkskskkzkjjxjs,chn,,0-0-1-0-0-1
chn_train_track_a_01749,"nunca entendi, Coconuts é uma marca de boa, nem precisava desse tipo de publi, já comprava na boa.",0,1,0,0,0,1,ptbr_train_track_a_01256,Vi um pervertido com fetiche por amputados outro dia no tumblr.,chn,,0-1-0-0-0-1
chn_train_track_a_01377,"pra gente que vive no meio do mundo, tá difícil achar alguém que não pegou… nos três lugares que conheço (Pequim, Zhengzhou e uma cidade na Mongólia Interior) a galera tá com 98% de contágio.",0,0,1,0,1,0,ptbr_train_track_a_00832,"amigos de bh, alguém pelamorde deus me chama prum rolê hoje?!?! tô querendo beber, dançar e curtir um bocado a noite hoje, minhajudem!",chn,,0-0-1-0-1-0
chn_train_track_a_00070,"trampo na parte financeira é um desespero, sei lá quantos grana to ganhando, mas to quase morrendo no processo, se vingar vai pra cadeia, se não vingar fica sem grana.",1,0,1,0,0,0,ptbr_train_track_a_00465,"geralmente eu falo que ""quase morri de cringe"" em tom de zueira  mas nesse caso é serio, estou com uma palpitação e falta de ar, parece que meu coração parou de bater por alguns segundos  posso processar o cataguri por tentativa de homicidio?",chn,,1-0-1-0-0-0
chn_train_track_a_01694,"tô de boas com isso! acho que pra chegar num nível top, só se esforçar não rola, né? no final das contas, é muita gente na China. se você só for mais ou menos, já era! então, ter talento é a chave, e se esforçar depois é só sucesso!",0,0,0,0,0,0,ptbr_train_track_a_00448,Normani revelou que Ariana Grande lhe encorajou durante gravações do seu 1° álbum e que teve grande importância nele. Será que a parceria r&amp;b perfection vem? Confira:,chn,,0-0-0-0-0-0
chn_train_track_a_00704,"minha filha teve febre com um aninho, usei paracetamol duas vezes e nada de melhorar, aí decidi dar só a receita da medicina alternativa do hospital. na segunda embalagem ainda tava com febre, mas naquela noite depois de tomar, sumiu! não voltou mais. graças a Deus, tava super preocupada com a febre de 39.5° e nada resolvia.",0,0,1,1,1,0,ptbr_train_track_a_02035,"Muito obrigado. Eu achei que ninguém responderia, mas suas palavras me deram uma motivação. A chave é ir estudando as coisas e aprendendo a lidar, infelizmente ninguém evolui no conforto, realmente. Escutei bastante que após essas experiências, eu vou me tornar alguém mais forte conforme a ""vida"" for me ""batendo"". Ouvir essas coisas me amedronta, mas você tem razão.  Eu tentarei ser mais forte que isso.",chn,,0-0-1-1-1-0
chn_train_track_a_02147,"não consigo entender, como a decisão do juiz ainda permite doações?? então se joga, pode fazer isso sempre? cadê a seriedade da lei?",1,0,0,0,0,1,ptbr_train_track_a_01974,maldito momento que dei confiança kkkkkk,chn,,1-0-0-0-0-1
chn_train_track_a_01849,"Voltei hoje e, mano, que processo horrível! Primeira vez que fico tão decepcionado com minha cidade. Ninguém entende as regras, tudo uma coisa só. Aí fonei pra comunidade, falei que não comi nada no dia e que se rolava de ir pro hotel pra comer. Me disseram que os quartos tão todos lotados e pra eu ir pra casa rapidão.",1,0,0,0,1,0,ptbr_train_track_a_00525,"Em nome de Jesus que esse topete ridículo se desfaça!!!!!! Se esse é um homem cristão, o mundo já acabou e não vimos.",chn,,1-0-0-0-1-0
chn_train_track_a_02398,"com certeza a galera do comentário não entende nada, aquela história de Shenzhen foi pra punir quem bagunçou o trânsito, não tirar máscara. E esses gringos aí claramente não tão fazendo nada de mais, só dá pra aconselhar eles.",0,1,0,0,0,0,ptbr_train_track_a_01252,eu quando vejo a meia dúzia de viado que ainda tem na eca beijando os hétero  bêbado nos rolê:,chn,,0-1-0-0-0-0
chn_train_track_a_02638,"quem resiste tá errado, quem fecha também, rebelião não dá bom, lockdown nem fala de direitos, é isso e tchau",1,1,0,0,0,0,ptbr_train_track_a_01810,"Não entendi o post. Está enaltecendo a invasão da Polônia pelos alemães que culminou na maior guerra planetária da história, com opressão a judeus, ciganos, negros e homossexuais?",chn,,1-1-0-0-0-0
esp_train_track_a_00482,o chichico deixou o cabelo crescer de novo :0 alguém me explica como?! to com medo! :v,0,0,1,0,0,1,ptbr_train_track_a_00896,Nosso Presidente Jair Bolsonaro! Me ajuda!!! Entrei no dia 11.07 recurso (Protocolo de Requerimento: 307074014) no INSS contra um indeferimento (injusto) disseram que tem até SEIS MESES para dar um veredito. Nossa SEIS MESES??? (Nr do Benefício: 6280904052). Veja o requerimento,esp,,0-0-1-0-0-1
esp_train_track_a_01870,não gosto que fiquem pegando no pé dos @<username>,1,0,0,0,0,0,ptbr_train_track_a_01441,fico puto dms falando de hamlet meu segundo livro fav sabe mostre algum respeito ?,esp,,1-0-0-0-0-0
esp_train_track_a_01651,mas pq deu 17 alguém pode me explicar por favor,0,0,0,0,0,1,ptbr_train_track_a_00528,"Concordo que hetero top tá muito mais pra caricatura do que uma forma de viver mas muita gente assume essa casca pra fugir do que realmente é , a questão é que isso atrai pessoas por um motivo que eu não sei explicar",esp,,0-0-0-0-0-1
esp_train_track_a_00149,"e tem toda razão, que estavam pensando, não dava pra ser pior",1,1,0,0,0,1,ptbr_train_track_a_02093,o pau comendo e minha vizinha com o discurso de empatia e amor no meio da reunião de condôminos. quem engole isso??,esp,,1-1-0-0-0-1
esp_train_track_a_01470,"que loucura aquele final, foi sinistro",0,1,0,0,0,0,ptbr_train_track_a_01544,![gif](emote|free_emotes_pack|neutral_face) Ele teve sorte mesmo foi de não encontrar uma camisinha usada,esp,,0-1-0-0-0-0
esp_train_track_a_00277,tá rolando um fenômeno em várias cidades pelo mundo. A galera local tá vendo que a parada tá feia.,0,0,1,0,1,0,ptbr_train_track_a_00821,"deixei meu celular cair muito feio no chão ontem, rachou a película e eu tava só o choro achando que era no cel",esp,,0-0-1-0-1-0
esp_train_track_a_00563,tô me sentindo mal por ter dado mais uma olhada nessa pndja,0,1,0,0,1,0,ptbr_train_track_a_00339,to me sentindo um lixo hoje pqp,esp,,0-1-0-0-1-0
esp_train_track_a_00588,"Ai, mesmo o vídeo já ter rolado, me fez chorar",0,0,0,0,1,0,ptbr_train_track_a_01987,"queria volta com ela, ent vou me afastar é melhor pra minha mente e dignidade, pq a ausencia vai fazer falta pra ela, ate pq ela tem poucos amigos",esp,,0-0-0-0-1-0
esp_train_track_a_01114,esses cachorros aí querendo se mostrar pros outros,1,1,0,0,0,0,ptbr_train_track_a_00737,"twitter definitivamente é a rede social mais tóxica que tem, as pessoas só vem aq pra reclamar da vida ou julgar a vida alheia, mesmo não tendo caralho nenhum a ver com a vida da outra pessoa. ser humano tá precisando ter mais senso",esp,,1-1-0-0-0-0
esp_train_track_a_01167,"mó triste que não dá pra deixar um 'amei' nesse vídeo, aff",0,0,0,1,1,0,ptbr_train_track_a_01749,vou tirar um cochilo e sonhar que o salario caiu na conta k k kk,esp,,0-0-0-1-1-0
arq_train_track_a_00060,"minha visão: - fica quieta, véia do calor!",1,1,0,0,0,1,ptbr_train_track_a_02093,o pau comendo e minha vizinha com o discurso de empatia e amor no meio da reunião de condôminos. quem engole isso??,arq,,1-1-0-0-0-1
arq_train_track_a_00103,"olha só (contando as grana que consegui): só pro pão já vê quanto que é, pros outros trecos nem penso mais. a gente fica doente à toa.",0,1,0,0,1,0,ptbr_train_track_a_00339,to me sentindo um lixo hoje pqp,arq,,0-1-0-0-1-0
arq_train_track_a_00110,"meu olho voltou: ""sou eu que trabalho. coloquei meu sangue nesse trampo, mas tá certo.""",1,0,0,1,1,0,ptbr_train_track_a_00445,Parabéns falou tudo e muito difícil ser Negro neste País,arq,,1-0-0-1-1-0
arq_train_track_a_00501,"o narrador: desde o dia que ele ouviu isso, o cara ficou com medo dessas tretas.",0,1,1,0,0,0,ptbr_train_track_a_01467,mano acabei de ver por aleatório um vídeo de uma mulher fazendo o próprio parto e caralho nem fodendo eu quero uma criança,arq,,0-1-1-0-0-0
arq_train_track_a_00893,narrador: o Omar quando viu a Mari assim ficou com medo.,0,0,1,0,0,0,ptbr_train_track_a_00943,"nem toda a gente que tu queres bem, querem te bem, fica atento",arq,,0-0-1-0-0-0
arq_train_track_a_00172,o Omar chegou na porta e viu a porta do hospital aberta e gritou: Aisha! Aisha!,0,0,1,0,0,1,ptbr_train_track_a_02076,mds minha avó e meu irmão tá guerreando véi kkkkkkkkk eles tão discutindo feio mds,arq,,0-0-1-0-0-1
arq_train_track_a_00399,"o narrador: tinha até quem bebesse, mas nem os vizinhos davam conta deles.",1,1,0,0,1,0,ptbr_train_track_a_02089,"Cacete quanta criança que nunca viu uma fila do INSS aparecendo por aqui. A realidade do brasileiro pobre é de partir o coração, ou cerro os dentes de ódio, ou me entristeço por dentro, desolado pela impotência. No fim das contas, acompanho isso todo dia aqui onde moro, antigamente todo final de semana o cheirinho de churrasco permeava as vielas aqui da Vila. Hoje em dia, o único cheiro é o de lixo revirado pelos animais, e pelas pessoas.",arq,,1-1-0-0-1-0
arq_train_track_a_00052,"Meu olho: ""Omar! Sou eu! Eu!"" colocou o dedo embaixo do olho dela pra mostrar que não teve nem um pingo de compaixão.",1,0,1,0,0,0,ptbr_train_track_a_00903,faça algo em relação ao stf liberaram o assassinato. tá difícil viver nesse lugar.,arq,,1-0-1-0-0-0
arq_train_track_a_00455,"A avó quando tá ligada que minha atenção foi embora, faz de tudo pra levantar a cabeça e olhar com aqueles olhos azuis pro boy.",0,0,1,1,1,0,ptbr_train_track_a_02035,"Muito obrigado. Eu achei que ninguém responderia, mas suas palavras me deram uma motivação. A chave é ir estudando as coisas e aprendendo a lidar, infelizmente ninguém evolui no conforto, realmente. Escutei bastante que após essas experiências, eu vou me tornar alguém mais forte conforme a ""vida"" for me ""batendo"". Ouvir essas coisas me amedronta, mas você tem razão.  Eu tentarei ser mais forte que isso.",arq,,0-0-1-1-1-0
arq_train_track_a_00502,esse cara dá pra gente ir pra frente junto com ele.,0,0,0,0,0,0,ptbr_train_track_a_01519,"quando dá prejuízo n pode vender pq tem q esperar valorizar, quando valoriza n pode vender pq da lucro",arq,,0-0-0-0-0-0
afr_train_track_a_00701,vai ser registrado num relatório que dá pra auditar.,0,0,0,0,0,0,ptbr_train_track_a_01071,hum ok nn consegue ficar sem falar cmg eu entendo,afr,,0-0-0-0-0-0
afr_train_track_a_01173,"na época dela, ela era uma lenda viva; hoje quase ngm sabe quem ela é.",0,0,0,0,1,0,ptbr_train_track_a_00460,se a terra não é plana porque não rola nada entre eu e o moreno?,afr,,0-0-0-0-1-0
afr_train_track_a_00220,muita gente que perdeu o trampo era a única fonte de grana de famílias pobres.,0,0,1,0,1,0,ptbr_train_track_a_01203,assim é medo de ser deixado considerando que somos feio,afr,,0-0-1-0-1-0
afr_train_track_a_00912,não dá mais pra ver nosso povo sofrendo não,1,1,0,0,1,0,ptbr_train_track_a_00205,eu engordei pra caralho e tô odiando meu corpo de novo me sentindo a pessoa mais nojenta do universo,afr,,1-1-0-0-1-0
afr_train_track_a_00435,a gente precisa de uns funcionários públicos que realmente se liguem e cuidem das necessidades da galera.,1,0,0,0,1,0,ptbr_train_track_a_00786,Foi um desrespeito aos policiais. Policiais são heróis. Respeitem quem luta contra o crime. Babdido negro pode? Tenha dor!,afr,,1-0-0-0-1-0
afr_train_track_a_01185,cês vão lembrar da farofa no começo do nosso semestre sobre gênero e o gabinete masculino.,1,1,0,0,0,0,ptbr_train_track_a_01452,"Porque toda semana eles precisam eleger um inimigo pra ficar atacando.  Enquanto isso, ""ignoram"" os problemas reais que teriam de enfrentar sem esses rivais.  Felipe Neto já foi um alvo constante. Anitta foi uma das mais recentes.  Semana que vem arrumam outro inimigo.",afr,,1-1-0-0-0-0
afr_train_track_a_00648,"Segundo o censo de 2001, 116.258 lares na Cabo Ocidental não têm nem saneamento básico.",0,1,0,0,1,0,ptbr_train_track_a_00506,"Tipo mano eu me cedi pra pessoa, ela sabe que eu estou totalmente ali afim dela e estou ali por ela ai você mete uma dessa com alguém que esta totalmente por você? Mano ontem meu dia foi um lixo, só consegui me recompor hoje por causa disso. Ai eu penso que se a pessoa faz isso ela meio que tem 0 empatia por você sabe",afr,,0-1-0-0-1-0
afr_train_track_a_00120,"a crise econômica mundial tá trazendo um monte de treta pra nossa economia, tipo desemprego e a qualidade de vida da galera",1,0,1,0,1,0,ptbr_train_track_a_01895,"maldito é o homem que confia em outro, cuidado com quem você chama de amigo... jesus não foi traído por um desconhecido.",afr,,1-0-1-0-1-0
afr_train_track_a_00271,"agora olha, se alguém já foi anunciado pela boca do famoso Coenie de Villiers, tu tá lascado.",0,0,0,1,0,0,ptbr_train_track_a_01185,"Dircurso lindo , mulher maravilhosa!",afr,,0-0-0-1-0-0
afr_train_track_a_00139,"não vai sair pela cidade com raposas mortas amarradas na traseira da sua caminhonete, né?",0,1,1,0,0,0,ptbr_train_track_a_01467,mano acabei de ver por aleatório um vídeo de uma mulher fazendo o próprio parto e caralho nem fodendo eu quero uma criança,afr,,0-1-1-0-0-0
oro_train_track_a_02038,"então a chuva tá querendo cair de vez, hein? bora preparar pra molhar a galera!",0,0,0,0,0,0,ptbr_train_track_a_00575,"juanfran está perto de jogar o br, tnc esse ano o br vai ficar o crime",oromo,,0-0-0-0-0-0
oro_train_track_a_02923,"A PP é tipo um partido que não pode ficar aí só em cima do muro. Precisa ter ação, se não vai ficar só no papo. Vamos pra cima na missão, galera!",0,1,1,0,0,0,ptbr_train_track_a_01467,mano acabei de ver por aleatório um vídeo de uma mulher fazendo o próprio parto e caralho nem fodendo eu quero uma criança,oromo,,0-1-1-0-0-0
oro_train_track_a_03305,"2) nos últimos 2 anos, a galera Oromo sofreu muito 3) o governo OPDO fica jogando medo na gente se não ficarmos quietos.",0,0,1,0,1,0,ptbr_train_track_a_01203,assim é medo de ser deixado considerando que somos feio,oromo,,0-0-1-0-1-0
oro_train_track_a_01194,não vi a nova música que tá bombando no YouTube agora,0,0,0,0,0,1,ptbr_train_track_a_01300,ajudei a eleger teu pai. Mas esse arquivamento de processos referente ao Sen. Carlos Bolsonaro ficou estranho,oromo,,0-0-0-0-0-1
oro_train_track_a_01866,"Mano, esse ano tá tudo louco! Como tá a fé? E as vibes no Orômia? O que tá pegando? Tem forças aí ou tá na mesma do governo do passado? @<username> @<username>",1,0,0,0,0,1,ptbr_train_track_a_00089,migu do céu aconteceu a mesma coisa comigo literalmente 5 minutos depois de sair da oficina pqp,oromo,,1-0-0-0-0-1
oro_train_track_a_00024,"Chegou a hora! Sério, essa fase tá osso, mas vamos superar! Oromos, bora ficar firmes! URL",0,0,0,1,1,0,ptbr_train_track_a_01373,ok n importa quao lixo eu esteja me sentindo eu escuto pixies eu fico melhor,oromo,,0-0-0-1-1-0
oro_train_track_a_03127,"@<username> Quem vai comer essa parada se não for vcs? Tipo criança sem pai, sem rumo. Se não tiver Deus no coração de vcs, tudo fica na humildade e nada de respeito.",1,1,0,0,0,0,ptbr_train_track_a_00534,"A rivalidade entre os meninos nos comentários disso me dá nojo. Não precisa desmerecer um pra enaltecer o outro, quando as pessoas vão entender isso?",oromo,,1-1-0-0-0-0
oro_train_track_a_01656,"Ethiopia C indo pra D D tá me surpreendendo, mas lá tá bem F F F mesmo",0,1,0,0,0,1,ptbr_train_track_a_01256,Vi um pervertido com fetiche por amputados outro dia no tumblr.,oromo,,0-1-0-0-0-1
oro_train_track_a_00309,"aí galera, só pra avisar, nada de desespero se liga, tô chegando com novidades quentíssimas, fica tranquilo que a gente não vai se abalar!!!",0,0,0,1,0,0,ptbr_train_track_a_01923,Parabéns pra ele mais um não kkkkkkkkk,oromo,,0-0-0-1-0-0
oro_train_track_a_03044,"@<username> continua brilhando, meu parça! sou fã do seu trampo no KMN & Keelloo. vai longe, hein? e essa ideia de documentário, sensacional! força aí!",0,0,0,1,0,1,ptbr_train_track_a_00276,"fui comprar um, sair com 7 brincos kkkkkk pqp",oromo,,0-0-0-1-0-1
ary_train_track_a_00442,"sobre esse fundo que ainda tá okay, qual a utilidade se vcs liberaram os preços do petróleo e dos alimentos?",1,0,0,0,0,1,ptbr_train_track_a_00285,queiroz???? vá procurar você .,ary,,1-0-0-0-0-1
ary_train_track_a_01032,"Resultados da Covid nas últimas 24h: 308 novos casos e 131 se recuperaram.. total: 15079 casos, 11447 curados, 242 faleceram e 3390 ainda em tratamento.",0,0,1,0,1,0,ptbr_train_track_a_00305,"tô c tanta vergonha, queria conseguir me abrir sobre isso, mas falta coragem",ary,,0-0-1-0-1-0
ary_train_track_a_00022,"prof. Ibrahimi: as vacinas protegem a gente do delta... e essa variante vai ser a mais comum aqui, e não vai ter terceira dose",0,0,0,0,0,0,ptbr_train_track_a_00918,"aí só porque tirou, ele cai",ary,,0-0-0-0-0-0
ary_train_track_a_01311,explosão balançando o estacionamento dos aviões no aeroporto de Istambul,0,0,1,0,0,1,ptbr_train_track_a_00822,"que susto do caralho, sou míope mano, para conseguir ver que tinha uma frase em baixo foram 10 colapsos",ary,,0-0-1-0-0-1
ary_train_track_a_00929,"como eu disse sou gata e sei meu valor, raphael vai se lascar, agora vou te dar duas opções",1,0,0,1,0,0,ptbr_train_track_a_01399,"nao sei oq ele disse da balada e das minas p mim, eu falei assim ""eu sou uma mina sou melhor que vc e vc vai me respeitar, agora abaixa a sua mão pra falar comigo, vc vai falar comigo assim com a mão abaixada ok?"" kkkkk ele ficou pianinho pqp o auge",ary,,1-0-0-1-0-0
ary_train_track_a_00846,jornais da minha terra2. Chefe da rede de prostituição chique em Marrakech fica com um terço do que as garotas ganham dos clientes e uma fugitiva revela esquema de tráfico de garotas pra lá pro golfo.,0,1,0,0,1,0,ptbr_train_track_a_00339,to me sentindo um lixo hoje pqp,ary,,0-1-0-0-1-0
ary_train_track_a_00154,isso é foda. marroquinos segurando marroquinos em terra espanhola. paga e sai fora,0,0,0,0,0,1,ptbr_train_track_a_00394,"Não é possível que vai sair p prefeito , queremos vc presidente !",ary,,0-0-0-0-0-1
ary_train_track_a_00214,"fez uma página no face e postou umas fotos fake de menores, que sem noção!",0,1,1,0,0,0,ptbr_train_track_a_01467,mano acabei de ver por aleatório um vídeo de uma mulher fazendo o próprio parto e caralho nem fodendo eu quero uma criança,ary,,0-1-1-0-0-0
ary_train_track_a_01207,Kawtar ou eu tô surtando com esse vestido mega chique wow,0,0,0,1,0,1,ptbr_train_track_a_01980,"meninas, eles tem twitter e começou a me seguir!",ary,,0-0-0-1-0-1
ary_train_track_a_01535,criança se afogou no rio 'Guis' perto de Alhucemas,0,0,0,0,1,0,ptbr_train_track_a_01285,"bicho eu tentei mas n rola nada a interação é mt difícil, eles são super abertos mas tipo n tem nada em comum e da pra ver que ela n quer",ary,,0-0-0-0-1-0
som_train_track_a_03022,BNSomalia protest contra o presidente Laftagareen rolou hoje em Mogadíscio,0,0,0,0,0,0,ptbr_train_track_a_01661,é comum e normal entre os amigos homens se cumprimentaram assim,somali,,0-0-0-0-0-0
som_train_track_a_01829,"o maior sofrimento é não cobrar nada de ninguém, e ainda a galera não se pergunta sobre quem causou tanto sofrimento às crianças! é um país e um governo que deixa o povo viver na tristeza e no descaso.",1,0,0,0,1,0,ptbr_train_track_a_01277,"3 dias sem fumar, é difícil pra carai",somali,,1-0-0-0-1-0
som_train_track_a_00204,"Turquia tá na vibe, quero ver oq vai rolar lá hehehe",1,0,0,0,0,0,ptbr_train_track_a_01840,"Na verdade , acredito que isso foi jogada dele , para que os inimigos dessem as caras. E já começou a aparecer...",somali,,1-0-0-0-0-0
som_train_track_a_01399,por que o governo obrigou esse médico a pegar uma arma e lutar contra o grupo jihadista?,0,0,0,0,0,1,ptbr_train_track_a_01049,Vixi... ta nisso ainda??? Bora gente... é preciso girar a engrenagem... muita gente querendo e precisando trabalhar....,somali,,0-0-0-0-0-1
som_train_track_a_00449,Como esse bruxo ajudou a derrotar os Nazistas,0,0,1,0,0,1,ptbr_train_track_a_01122,o pai da minha amg foi espancado mano como assim ????,somali,,0-0-1-0-0-1
som_train_track_a_01453,"quem gravou esse vídeo merece um prêmio, juro que é lindo demais",0,0,0,1,0,1,ptbr_train_track_a_01980,"meninas, eles tem twitter e começou a me seguir!",somali,,0-0-0-1-0-1
som_train_track_a_01496,"YaaasinFarey disse que Ikraaan era super ativa e Nisa é da turma, mas AbuuCamaaar falou que Ikraaan não pertence a Nisa! Muitas histórias engraçadas sendo registradas, tudo isso na treta do Fahadyasin kkk",0,1,0,0,0,1,ptbr_train_track_a_01256,Vi um pervertido com fetiche por amputados outro dia no tumblr.,somali,,0-1-0-0-0-1
som_train_track_a_02605,"caraca, vi um negócio que me deixou bolado, a situação tá tensa, a galera sem coração, nem parecem que tão com um ser humano lá, e o povo comendo sem dó, o bonde não tá sabendo, e 9 meses assim? aff",0,0,0,0,1,1,ptbr_train_track_a_00702,"Que isso cara, pra que ofender o Jailson?",somali,,0-0-0-0-1-1
som_train_track_a_01923,"USER malha aí, não pega nada de bom pra quem vive em Muqdishu, tão na luta, sério, a galera tá se quebrando e a gente só na boa, tipo só se vendo em reality mesmo!",1,0,0,0,1,1,ptbr_train_track_a_00809,"Parabéns pelo carro, mas eu fico revoltado como o brasileiro se contenta com tão pouco, tipo, como um mísero HB20 chega a R$110.000,00?",somali,,1-0-0-0-1-1
som_train_track_a_01262,"morro de rir quando o Ahmed Madooobe critica outros, sendo que ele tá lá há tipo 12 anos e não faz nada de novo no Kenia, Kismaaayo. Galera de Jubbaland, bora dá uma sacudida nesse mufa, chega de papo furado!",1,0,0,0,0,1,ptbr_train_track_a_00395,"cacetada bicho sai atrasado e esqueci de por o relógio, cada vez mais perdendo a civilidade",somali,,1-0-0-0-0-1
deu_train_track_a_01307,"já ouvi de gente que mostra seu 'melhor' no tinder e tal, mas tem gente que sai por aí mostrando a 'berinjela'? e ainda parece que rola com frequência! que mundo é esse? por favor, joga spray de pimenta nessa pobre salsicha pra ver se ela cai!",1,1,0,0,0,1,ptbr_train_track_a_02093,o pau comendo e minha vizinha com o discurso de empatia e amor no meio da reunião de condôminos. quem engole isso??,deutsch,,1-1-0-0-0-1
